date,roundNum,momEarnings,dadEarnings,tiffEarnings,chrisEarnings
"2022-01-07 11:59:49",102,-1,3,-1,-1
"2022-01-07 12:06:36",103,-4,-2,8,-2
"2022-01-07 12:14:52",104,1,-0.25,-0.25,-0.5
"2022-01-07 12:20:06",105,2,-1,-0.5,-0.5
"2022-01-07 12:25:36",106,-0.5,-1,2,-0.5
"2022-01-07 12:33:11",107,1,-0.25,-0.5,-0.25
"2022-01-07 12:51:55",108,-1,-0.5,2,-0.5
"2022-01-07 13:07:26",109,-0.25,1,-0.5,-0.25
"2022-01-07 13:12:56",110,1,-0.5,-0.25,-0.25
"2022-01-07 13:19:23",111,-0.5,-0.25,-0.25,1
"2022-01-07 13:25:27",112,2,-0.5,-1,-0.5
"2022-01-07 13:32:47",113,0.75,-0.25,-0.25,-0.25
"2022-01-07 13:39:56",114,6,-2,-2,-2
"2022-01-07 13:45:29",115,-0.5,2,-1,-0.5
"2022-01-07 13:52:14",116,-2,6,-2,-2
"2022-01-07 13:58:56",117,-0.5,-1,2,-0.5
"2022-01-08 16:34:13",118,-0.5,-0.25,-0.25,1
"2022-01-08 16:39:24",119,-0.25,1,-0.5,-0.25
"2022-01-08 16:46:30",120,-0.25,0.75,-0.25,-0.25
"2022-01-08 16:52:11",121,-0.5,-1,2,-0.5
"2022-01-08 16:57:10",122,-0.25,-0.25,-0.25,0.75
"2022-01-08 17:03:49",123,-0.25,1,-0.25,-0.5
"2022-01-08 17:10:43",124,-0.25,-0.25,-0.5,1
"2022-01-08 17:19:10",125,-1,-1,-1,3
"2022-01-08 17:27:49",126,8,-4,-2,-2
"2022-01-08 17:35:23",127,-0.5,1,-0.25,-0.25
"2022-01-08 17:39:09",128,2,-1,-0.5,-0.5
"2022-01-08 17:45:07",129,-4,-2,8,-2
"2022-01-08 17:49:46",130,0.75,-0.25,-0.25,-0.25
"2022-01-08 17:53:41",131,-2,6,-2,-2
"2022-01-08 17:57:52",132,-1,-1,3,-1
"2022-01-08 18:05:16",133,-0.5,2,-1,-0.5
"2022-01-08 18:13:26",134,2,-0.5,-0.5,-1
"2022-01-08 18:18:03",135,-0.25,1,-0.25,-0.5
"2022-01-09 08:59:16",136,-0.25,-0.5,1,-0.25
"2022-01-09 09:07:00",137,-4,8,-2,-2
"2022-01-09 09:12:45",138,1,-0.25,-0.5,-0.25
"2022-01-09 09:17:59",139,-1,2,-0.5,-0.5
"2022-01-09 09:22:16",140,1,-0.25,-0.25,-0.5
"2022-01-09 09:28:38",141,-0.5,-0.25,-0.25,1
"2022-01-09 09:33:53",142,-0.5,-1,2,-0.5
"2022-01-09 09:40:13",143,2,-1,-0.5,-0.5
"2022-01-09 09:45:27",144,-1,-0.5,-0.5,2
"2022-01-09 09:50:15",145,-0.5,-0.5,2,-1
"2022-01-09 09:55:49",146,8,-2,-2,-4
"2022-01-09 10:02:10",147,-0.25,-0.25,-0.25,0.75
"2022-01-09 10:18:04",148,3,-1,-1,-1
"2022-01-09 10:23:27",149,-0.25,0.75,-0.25,-0.25
"2022-01-09 10:28:41",150,-1,-1,3,-1
"2022-01-09 10:33:48",151,-1,2,-0.5,-0.5
"2022-01-09 10:38:34",152,-0.25,1,-0.5,-0.25
"2022-01-09 10:45:57",153,1,-0.5,-0.25,-0.25
"2022-01-09 10:51:31",154,6,-2,-2,-2
"2022-01-09 10:56:40",155,-1,3,-1,-1
"2022-01-09 11:02:11",156,0.75,-0.25,-0.25,-0.25
"2022-01-09 11:09:01",157,1.5,-0.5,-0.5,-0.5
"2022-01-09 11:25:27",158,1,-0.25,-0.25,-0.5
"2022-01-09 11:30:00",159,-1,2,-0.5,-0.5
"2022-01-09 11:35:11",160,1,-0.5,-0.25,-0.25
"2022-01-09 11:41:03",161,-0.25,-0.25,1,-0.5
"2022-01-09 11:46:49",162,-0.25,-0.25,1,-0.5
"2022-01-09 11:53:37",163,-0.25,-0.25,1,-0.5
"2022-01-09 11:57:48",164,1.5,-0.5,-0.5,-0.5
"2022-01-09 12:13:05",165,1,-0.25,-0.25,-0.5
"2022-01-09 12:19:48",166,1,-0.25,-0.25,-0.5
"2022-01-09 12:26:27",167,-2,-2,-2,6
"2022-01-09 12:38:53",168,2,-1,-0.5,-0.5
"2022-01-09 12:45:18",169,-2,-4,-2,8
"2022-01-09 12:50:51",170,-0.25,-0.25,1,-0.5
"2022-01-09 12:58:34",171,4,-2,-1,-1
"2022-01-09 13:03:31",172,-1,-1,-2,4
"2022-01-09 13:09:57",173,-0.25,-0.25,1,-0.5
"2022-01-09 13:14:01",174,-0.25,1,-0.5,-0.25
"2022-01-09 13:18:56",175,-0.25,-0.25,-0.5,1
"2022-01-09 13:22:54",176,-0.5,-0.5,1.5,-0.5
"2022-01-09 13:36:21",177,-0.5,2,-1,-0.5
"2022-12-29 17:14:57",178,-0.25,-0.5,1,-0.25
"2022-12-29 17:22:28",179,-1,3,-1,-1
"2022-12-29 17:28:42",180,-0.25,-0.25,-0.25,0.75
"2022-12-29 17:35:00",181,2,-0.5,-1,-0.5
"2022-12-29 17:42:39",182,-0.5,-0.5,2,-1
"2022-12-29 17:50:50",183,-0.25,1,-0.5,-0.25
"2022-12-29 17:56:56",184,1.5,-0.5,-0.5,-0.5
"2022-12-29 18:04:11",185,-2,6,-2,-2
"2022-12-29 18:12:43",186,-0.5,1,-0.25,-0.25
"2022-12-29 18:20:09",187,3,-1,-1,-1
"2022-12-29 18:26:08",188,-0.5,-0.5,-1,2
"2022-12-29 18:32:15",189,-0.5,1,-0.25,-0.25
"2022-12-29 18:49:16",190,-4,-4,-4,12
"2022-12-29 18:57:51",191,-0.25,-0.25,0.75,-0.25
"2022-12-29 19:03:56",192,-0.25,-0.25,-0.5,1
"2022-12-29 19:11:19",193,-0.5,2,-1,-0.5
"2022-12-29 19:18:19",194,-0.5,-0.25,1,-0.25
"2022-12-29 19:27:34",195,1.5,-0.5,-0.5,-0.5
"2022-12-29 19:35:52",196,-1,-0.5,-0.5,2
"2022-12-29 19:41:48",197,-0.5,-0.25,-0.25,1
"2022-12-29 19:48:32",198,-0.5,1,-0.25,-0.25
"2022-12-29 19:56:14",199,-1,-0.5,-0.5,2
"2023-01-01 16:27:53",200,0.75,-0.25,-0.25,-0.25
"2023-01-01 16:33:32",201,0.75,-0.25,-0.25,-0.25
"2023-01-01 16:38:40",202,-0.5,-0.25,1,-0.25
"2023-01-01 16:46:19",203,-2,8,-4,-2
"2023-01-01 16:54:20",204,-0.25,-0.25,-0.5,1
"2023-01-01 17:03:59",205,-0.5,-0.5,1.5,-0.5
"2023-01-01 17:26:59",206,-1,2,-0.5,-0.5
"2023-01-01 17:43:21",207,1,-0.25,-0.5,-0.25
"2023-01-01 17:49:48",208,-2,-1,-1,4
"2023-01-01 18:03:37",209,-1,-1,3,-1
"2023-01-01 18:13:39",210,-0.5,1.5,-0.5,-0.5
"2023-01-01 18:20:03",211,1,-0.25,-0.5,-0.25
"2023-01-01 18:25:04",212,-0.5,2,-1,-0.5
"2023-01-01 18:29:31",213,2,-0.5,-1,-0.5
"2023-01-01 18:36:23",214,8,-2,-4,-2
"2023-01-01 18:43:28",215,-0.25,1,-0.5,-0.25
"2023-01-01 18:52:43",216,-0.25,-0.25,-0.5,1
"2023-01-11 17:01:40",217,-1,2,-0.5,-0.5
"2023-01-11 17:01:50",218,-2,-4,8,-2
"2023-01-11 17:01:57",219,-0.5,-0.25,-0.25,1
"2023-01-11 17:02:04",220,-2,-2,6,-2
"2023-01-11 17:02:12",221,-0.5,1.5,-0.5,-0.5
"2023-01-11 17:02:17",222,-4,8,-2,-2
"2023-01-11 17:02:23",223,-0.5,2,-1,-0.5
"2023-01-11 17:02:29",224,-0.5,-1,-0.5,2
"2023-01-11 17:02:39",225,6,-2,-2,-2
"2023-05-31 17:51:49",226,-0.5,-0.5,1.5,-0.5
"2023-05-31 17:59:28",227,-0.5,-0.5,2,-1
"2023-05-31 18:04:33",228,-1,-0.5,-0.5,2
"2023-05-31 18:13:44",229,-0.5,-0.25,-0.25,1
"2023-05-31 18:25:02",230,-1,-0.5,2,-0.5
"2023-05-31 18:31:29",231,-2,6,-2,-2
"2023-05-31 18:37:57",232,6,-2,-2,-2
"2023-05-31 18:45:14",233,-0.25,0.75,-0.25,-0.25
"2023-05-31 18:51:46",234,-2,6,-2,-2
